Año,Mes,ID,Fecha,Estado,URL_Citacion,URL_Cuenta,URL_Asistencia,URL_Acta,URL_Votacion,URL_Resultado
2026,Marzo,151,04 mar. 2026,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3309&prmIdSesion=81284,No,No,No,No,No
2026,Marzo,150,04 mar. 2026,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3309&prmIdSesion=81283,No,No,No,No,No
