Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta,URL_Video
2025,08,21860,2025-08-20,SECRETA,No,No,No,
2025,07,21652,2025-07-01,SECRETA,No,No,No,
2025,05,21478,2025-05-13,SECRETA,No,No,No,
2025,05,21431,2025-05-06,FRACASADA,No,No,No,
2025,04,21420,2025-04-24,FRACASADA,No,No,No,
2025,03,21283,2025-03-25,SECRETA,No,No,No,
2025,03,21222,2025-03-11,SECRETA,No,No,No,
