Año,Mes,ID,Fecha,Estado,Citacion,Cuenta,Acta,URL_Video
2025,12,22198,2025-12-15,SECRETA,No,https://www.senado.cl/actividad-legislativa/comisiones/202,No,
2025,09,21956,2025-09-16,SECRETA,No,https://www.senado.cl/actividad-legislativa/comisiones/202,No,
