Año,Mes,ID,Fecha,Estado,URL_Citacion,URL_Cuenta,URL_Asistencia,URL_Acta,URL_Votacion,URL_Resultado
2026,Marzo,239,03 mar. 2026,SUSPENDIDA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3314&prmIdSesion=81353,No,No,No,No,No
2026,Marzo,238,03 mar. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3314&prmIdSesion=81285,https://www.camara.cl/verDoc.aspx?prmID=382643&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/legislacion/comisiones/asistencia.aspx?prmId=3314&prmIdSesion=81285,No,No,https://www.camara.cl/legislacion/comisiones/resultado_detalle.aspx?prmId=3314&prmIdSesion=81285
2026,Marzo,237,02 mar. 2026,CELEBRADA,https://www.camara.cl/legislacion/comisiones/citacion_detalle.aspx?prmId=3314&prmIdSesion=81282,https://www.camara.cl/verDoc.aspx?prmID=381882&prmTipo=DOCUMENTO_COMISION,https://www.camara.cl/legislacion/comisiones/asistencia.aspx?prmId=3314&prmIdSesion=81282,No,No,https://www.camara.cl/legislacion/comisiones/resultado_detalle.aspx?prmId=3314&prmIdSesion=81282
