nombre,estado
Alejandro Navarro Brain,OK
Alfonso de Urresti Longton,OK
Arturo Squella Ovalle,OK
Camila Flores Oporto,OK
Carlos Kuschel Silva,OK
Carmen Gloria Aravena Acuña,OK
Claudio Alvarado Andrade,OK
Daniella Cicardini Milla,OK
Danisa Astudillo Pieretti,OK
David Sandoval Plaza,OK
Diego Ibáñez Cotroneo,OK
Enrique Lee Flores,OK
Enrique Van Rysselberghe Herrera,OK
Fabiola Campillai Rojas,OK
Felipe Kast Sommerhoff,OK
Fidel Espinoza Sandoval,OK
Francisco Chahuán Chahuán,OK
Francisco Huenchumilla Jaramillo,OK
Gastón Saavedra Chandía,OK
Ignacio Urrutia Bonilla,OK
Isabel Allende Bussi,OK
Iván Flores García,OK
Jaime Quintana Leal,OK
José Durana Semir,OK
José García Ruminot,OK
José Miguel Insulza Salinas,OK
Juan Antonio Coloma Correa,OK
Juan Ignacio Latorre Riveros,OK
Juan Luis Castro González,OK
Karim Bianchi Retamales,OK
Karol Cariola Oliva,OK
Kenneth Pugh Olavarría,OK
Loreto Carvajal Ambiado,OK
Luciano Cruz-Coke Carvallo,OK
Luz Ebensperger Orrego,OK
Manuel José Ossandón Irarrázabal,OK
Marcela Sabat Fernández,OK
Matías Walker Prieto,OK
Miguel Ángel Becker Alvear,OK
Miguel Ángel Calisto Águila,OK
Paulina Núñez Urrutia,OK
Paulina Vodanovic Rojas,OK
Pedro Araya Guerrero,OK
Rabindranath Quinteros Lara,OK
Renzo Trisotti Martínez,OK
Ricardo Celis Araya,OK
Ricardo Lagos Weber,OK
Rodrigo Galilea Vial,OK
Sebastián Keitel Bianchi,OK
Vanessa Kaiser Barents-Von Hohenhagen,OK
Vlado Mirosevic Verdugo,OK
Ximena Rincón González,OK
Ximena Órdenes Neira,OK
Yasna Provoste Campillay,OK
Álvaro Elizalde Soto,OK
